TName,Location,Phone,MTitle,ShowTime,Rating,CCode,CName
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",7:20 PM,PG-13,D,Donald Petrie
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",9:40 PM,PG-13,A,Austin Pendleton
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",9:40 PM,PG-13,A,Bebe Neuwirth
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",9:40 PM,PG-13,A,Dianne Wiest
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",9:40 PM,PG-13,A,Eli Wallach
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",9:40 PM,PG-13,A,Kenny Kerr
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",9:40 PM,PG-13,A,Lainie Kazan
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",9:40 PM,PG-13,A,Tim Daly
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",9:40 PM,PG-13,A,Whoopi Goldberg
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",9:40 PM,PG-13,D,Donald Petrie
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",5:10 PM,R,A,Bernard Hill
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",5:10 PM,R,A,Brian McCardie
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",5:10 PM,R,A,Emily Mortimer
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",5:10 PM,R,A,Henry Cele
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",5:10 PM,R,A,John Kani
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",5:10 PM,R,A,Michael Douglas
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",5:10 PM,R,A,Tom Wilkinson
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",5:10 PM,R,A,Val Kilmer
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",5:10 PM,R,D,Stephen Hopkins
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:00 PM,R,A,Bernard Hill
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:00 PM,R,A,Brian McCardie
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:00 PM,R,A,Emily Mortimer
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:00 PM,R,A,Henry Cele
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:00 PM,R,A,John Kani
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:00 PM,R,A,Michael Douglas
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:00 PM,R,A,Tom Wilkinson
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:00 PM,R,A,Val Kilmer
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:00 PM,R,D,Stephen Hopkins
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:05 PM,R,A,Bernard Hill
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:05 PM,R,A,Brian McCardie
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:05 PM,R,A,Emily Mortimer
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:05 PM,R,A,Henry Cele
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:05 PM,R,A,John Kani
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:05 PM,R,A,Michael Douglas
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:05 PM,R,A,Tom Wilkinson
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:05 PM,R,A,Val Kilmer
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Ghost & The Darkness, The",9:05 PM,R,D,Stephen Hopkins
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Bill Pullman
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Bill Smitrovich
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Harvey Fierstein
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Jeff Goldblum
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Judd Hirsch
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Margaret Colin
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Mary McDonnell
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Randy Quaid
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Robert Loggia
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Vivica Fox
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,A,Will Smith
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,Independence Day,7:00 PM,PG-13,D,Roland Emmerich
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",4:40 PM,PG-13,A,Austin Pendleton
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",4:40 PM,PG-13,A,Bebe Neuwirth
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",4:40 PM,PG-13,A,Dianne Wiest
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",4:40 PM,PG-13,A,Eli Wallach
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",4:40 PM,PG-13,A,Kenny Kerr
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",4:40 PM,PG-13,A,Lainie Kazan
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",4:40 PM,PG-13,A,Tim Daly
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",4:40 PM,PG-13,A,Whoopi Goldberg
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",4:40 PM,PG-13,D,Donald Petrie
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",7:30 PM,PG-13,A,Austin Pendleton
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",7:30 PM,PG-13,A,Bebe Neuwirth
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",7:30 PM,PG-13,A,Dianne Wiest
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",7:30 PM,PG-13,A,Eli Wallach
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",7:30 PM,PG-13,A,Kenny Kerr
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",7:30 PM,PG-13,A,Lainie Kazan
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",7:30 PM,PG-13,A,Tim Daly
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",7:30 PM,PG-13,A,Whoopi Goldberg
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Associate, The",7:30 PM,PG-13,D,Donald Petrie
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,D3: The Mighty Ducks,2:30 PM,PG,A,Emilio Estevez
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,D3: The Mighty Ducks,2:30 PM,PG,A,Heidi Kling
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,D3: The Mighty Ducks,2:30 PM,PG,A,Jeffrey Nordling
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,D3: The Mighty Ducks,2:30 PM,PG,A,Joss Ackland
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,D3: The Mighty Ducks,2:30 PM,PG,A,Rob Lieberman
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,D3: The Mighty Ducks,2:30 PM,PG,D,Rob Lieberman
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,5:15 PM,,A,Greg Kinnear
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,5:15 PM,,A,Hector Elizondo
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,5:15 PM,,A,Jon Seda
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,5:15 PM,,A,Laurie Metcalf
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,5:15 PM,,A,Maria Pitillo
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,5:15 PM,,A,Roscoe Lee Browne
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,5:15 PM,,A,Tim Conway
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,5:15 PM,,D,Garry Marshall
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,7:45 PM,,A,Greg Kinnear
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,7:45 PM,,A,Hector Elizondo
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,7:45 PM,,A,Jon Seda
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,7:45 PM,,A,Laurie Metcalf
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,7:45 PM,,A,Maria Pitillo
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,7:45 PM,,A,Roscoe Lee Browne
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,7:45 PM,,A,Tim Conway
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Dear God,7:45 PM,,D,Garry Marshall
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"First Wives Club, The",5:30 PM,PG-13,A,Bette Midler
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"First Wives Club, The",5:30 PM,PG-13,A,Diane Keaton
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"First Wives Club, The",5:30 PM,PG-13,A,Goldie Hawn
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"First Wives Club, The",5:30 PM,PG-13,D,Hugh Wilson
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"First Wives Club, The",8:00 PM,PG-13,A,Bette Midler
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"First Wives Club, The",8:00 PM,PG-13,A,Diane Keaton
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"First Wives Club, The",8:00 PM,PG-13,A,Goldie Hawn
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"First Wives Club, The",8:00 PM,PG-13,D,Hugh Wilson
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",5:00 PM,R,A,Bernard Hill
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",5:00 PM,R,A,Brian McCardie
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",5:00 PM,R,A,Emily Mortimer
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",5:00 PM,R,A,Henry Cele
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",5:00 PM,R,A,John Kani
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",5:00 PM,R,A,Michael Douglas
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",5:00 PM,R,A,Tom Wilkinson
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",5:00 PM,R,A,Val Kilmer
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",5:00 PM,R,D,Stephen Hopkins
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",7:40 PM,R,A,Bernard Hill
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",7:40 PM,R,A,Brian McCardie
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",7:40 PM,R,A,Emily Mortimer
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",7:40 PM,R,A,Henry Cele
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",7:40 PM,R,A,John Kani
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",7:40 PM,R,A,Michael Douglas
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",7:40 PM,R,A,Tom Wilkinson
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",7:40 PM,R,A,Val Kilmer
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Ghost & The Darkness, The",7:40 PM,R,D,Stephen Hopkins
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,4:00 PM,PG-13,A,and Louise Fletcher
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,4:00 PM,PG-13,A,Jon Lovitz
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,4:00 PM,PG-13,A,Mekhi Phifer
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,4:00 PM,PG-13,A,Tia Carrera
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,4:00 PM,PG-13,D,Hart Bochner
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,6:15 PM,PG-13,A,and Louise Fletcher
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,6:15 PM,PG-13,A,Jon Lovitz
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,6:15 PM,PG-13,A,Mekhi Phifer
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,6:15 PM,PG-13,A,Tia Carrera
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,6:15 PM,PG-13,D,Hart Bochner
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,8:30 PM,PG-13,A,and Louise Fletcher
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,8:30 PM,PG-13,A,Jon Lovitz
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,8:30 PM,PG-13,A,Mekhi Phifer
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,8:30 PM,PG-13,A,Tia Carrera
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,High School High,8:30 PM,PG-13,D,Hart Bochner
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Larger Than Life,8:20 PM,PG,A,Bill Murray
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Larger Than Life,8:20 PM,PG,A,Janeane Garofalo
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Larger Than Life,8:20 PM,PG,A,Jeremy Piven
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Larger Than Life,8:20 PM,PG,A,Keith David
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Larger Than Life,8:20 PM,PG,A,Matthew McConaughey
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Larger Than Life,8:20 PM,PG,A,Pat Hingle
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Larger Than Life,8:20 PM,PG,D,Howard Franklin
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",4:45 PM,PG-13,A,Barbra Streisand
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",4:45 PM,PG-13,A,Jeff Bridges
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",4:45 PM,PG-13,A,Lauren Bacall
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",4:45 PM,PG-13,A,Pierce Brosnan
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",4:45 PM,PG-13,D,Barbra Streisand
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",5:45 PM,PG-13,A,Barbra Streisand
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",5:45 PM,PG-13,A,Jeff Bridges
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",5:45 PM,PG-13,A,Lauren Bacall
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",5:45 PM,PG-13,A,Pierce Brosnan
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",5:45 PM,PG-13,D,Barbra Streisand
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",7:45 PM,PG-13,A,Barbra Streisand
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",7:45 PM,PG-13,A,Jeff Bridges
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",7:45 PM,PG-13,A,Lauren Bacall
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",7:45 PM,PG-13,A,Pierce Brosnan
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",7:45 PM,PG-13,D,Barbra Streisand
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",8:45 PM,PG-13,A,Barbra Streisand
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",8:45 PM,PG-13,A,Jeff Bridges
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",8:45 PM,PG-13,A,Lauren Bacall
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",8:45 PM,PG-13,A,Pierce Brosnan
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,"Mirror Has Two Faces, The",8:45 PM,PG-13,D,Barbra Streisand
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Ransom,4:15 PM,R,A,Delroy Lindo
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Ransom,4:15 PM,R,A,Gary Sinese
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Ransom,4:15 PM,R,A,Lili Taylor
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Ransom,4:15 PM,R,A,Mel Gibson
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Ransom,4:15 PM,R,A,Rene Russo
Cinema Star The Ultraplex 14,"Mission Grove, Riverside",(909) 342-2256,Ransom,4:15 PM,R,D,Ron Howard
